,GICS,TOPIX,Turnover,advisor,code,currencyCode,sector,side,strategy,firstTradeDate
2014/12/31,Consumer Discretionary,Services,30264000,HA,9616,JPY,Tail,L,Tourist,2014-06-02
2014/12/31,Consumer Discretionary,Services,115818000,HA,9616,JPY,Tail,L,Tourist,2014-06-02
2014/12/31,Financials,Services,29056000,HA,9639,JPY,Tail,L,Abe,2013-09-30
2014/12/31,Financials,Services,99880000,HA,9639,JPY,Tail,L,Abe,2013-09-30
2014/12/31,Information Technology,Information  and  Communication,5217000,TT,9640,JPY,Tail,L,EF,2013-05-17
2014/12/31,Information Technology,Information  and  Communication,17538000,TT,9640,JPY,Tail,L,EF,2013-05-17
2014/12/31,Information Technology,Information  and  Communication,1394197200,TT,9684,JPY,TailRR,L,Gamesoft,2014-08-04
2014/12/31,Information Technology,Information  and  Communication,57684000,TT,9684,JPY,TailRR,L,Gamesoft,2014-08-04
2014/12/31,Information Technology,Information  and  Communication,220704000,TT,9684,JPY,TailRR,L,Gamesoft,2014-08-04
2014/12/31,Industrials,Real Estate,1337407500,Adv,9706,JPY,TailSens,L,Tourist,2013-04-23
2014/12/31,Industrials,Real Estate,54549000,Adv,9706,JPY,TailSens,L,Tourist,2013-04-23
2014/12/31,Industrials,Real Estate,212932500,Adv,9706,JPY,TailSens,L,Tourist,2013-04-23
2014/12/31,Information Technology,Information  and  Communication,265541900,TT,9749,JPY,TailSens,L,Smart Car,2013-10-11
2014/12/31,Information Technology,Information  and  Communication,25348300,TT,9749,JPY,TailSens,L,Smart Car,2013-10-11
2014/12/31,Information Technology,Information  and  Communication,94994600,TT,9749,JPY,TailSens,L,Smart Car,2013-10-11
2014/12/31,Information Technology,Information  and  Communication,2003328000,TT,9766,JPY,TailRR,L,Gamesoft,2014-12-01
2014/12/31,Information Technology,Information  and  Communication,82362000,TT,9766,JPY,TailRR,L,Gamesoft,2014-12-01
2014/12/31,Information Technology,Information  and  Communication,318126000,TT,9766,JPY,TailRR,L,Gamesoft,2014-12-01
2014/12/31,Health Care,Services,59080800,HA,9792,JPY,Tail,L,Healthcare,2014-12-12
2014/12/31,Health Care,Services,226954400,HA,9792,JPY,Tail,L,Healthcare,2014-12-12
2014/12/31,Consumer Discretionary,Wholesale Trade,14618500,HA,9837,JPY,Tail,L,Index,2014-12-18
2014/12/31,Consumer Staples,Retail Trade,302364300,SM,9956,JPY,TailRR,L,Retail,2014-05-12
2014/12/31,Consumer Discretionary,Retail Trade,66060000,SM,9983,JPY,HR,L,Retail,2014-10-02
2014/12/31,Consumer Discretionary,Retail Trade,1413684000,SM,9983,JPY,HR,L,Retail,2014-10-02
2014/12/31,Consumer Discretionary,Retail Trade,237816000,SM,9983,JPY,HR,L,Retail,2014-10-02
2014/12/31,Telecommunication Services,Information  and  Communication,103103000,TT,9984,JPY,TailSens,L,Telecom,2013-11-08
2014/12/31,Telecommunication Services,Information  and  Communication,2276918000,TT,9984,JPY,TailSens,L,Telecom,2013-11-08
2014/12/31,Telecommunication Services,Information  and  Communication,363384000,TT,9984,JPY,TailSens,L,Telecom,2013-11-08
2014/12/31,Information Technology,Non-Japan,2005097000,EL,005930 KS,KRW,Asia,L,A-Tech,2014-11-27
2014/12/31,Information Technology,Non-Japan,86255000,EL,005930 KS,KRW,Asia,L,A-Tech,2014-11-27
2014/12/31,Information Technology,Non-Japan,330423000,EL,005930 KS,KRW,Asia,L,A-Tech,2014-11-27
2014/12/31,Information Technology,Non-Japan,2381640000,TT,035420 KS,KRW,Asia,L,A-Internet Games,2014-02-25
2014/12/31,Information Technology,Non-Japan,404416000,TT,035420 KS,KRW,Asia,L,A-Internet Games,2014-02-25
2014/12/31,Information Technology,Non-Japan,113920000,TT,035420 KS,KRW,Asia,L,A-Internet Games,2014-02-25
2014/12/31,Financials,Non-Japan,17750600,DH,1109 HK,HKD,Asia,L,A-Properties,2014-12-04
2014/12/31,Financials,Non-Japan,2822100,DH,1109 HK,HKD,Asia,L,A-Properties,2014-12-04
2014/12/31,Financials,Non-Japan,695300,DH,1109 HK,HKD,Asia,L,A-Properties,2014-12-04
2014/12/31,Industrials,Non-Japan,7714000,AQ,1138 HK,HKD,Asia,L,A-Shipping,2014-09-16
2014/12/31,Industrials,Non-Japan,1308720,AQ,1138 HK,HKD,Asia,L,A-Shipping,2014-09-16
2014/12/31,Industrials,Non-Japan,372400,AQ,1138 HK,HKD,Asia,L,A-Shipping,2014-09-16
2014/12/31,Consumer Discretionary,Non-Japan,4130920,AQ,1148 HK,HKD,Asia,L,A-Auto Parts,2014-07-30
2014/12/31,Consumer Discretionary,Non-Japan,729560,AQ,1148 HK,HKD,Asia,L,A-Auto Parts,2014-07-30
2014/12/31,Consumer Discretionary,Non-Japan,200080,AQ,1148 HK,HKD,Asia,L,A-Auto Parts,2014-07-30
2014/12/31,Industrials,Non-Japan,7743120,DH,1330 HK,HKD,Asia,L,A-Water,2014-10-15
2014/12/31,Industrials,Non-Japan,1288980,DH,1330 HK,HKD,Asia,L,A-Water,2014-10-15
